"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",708.602169691234,-0.381255791984712,0.10027783711495,0,1,1
"ENSG00000000419",520.297900552084,0.206813540957179,0.111876375425562,0,1,1
"ENSG00000000457",237.163036796015,0.0379259174260016,0.142949090337555,0,1,1
"ENSG00000000460",57.9326331250967,-0.088293679370336,0.286420536403944,0,1,1
"ENSG00000000971",5817.35286765231,0.426403189376661,0.0882263080601244,0,1,1
"ENSG00000001036",1282.10638546592,-0.241071658587784,0.088409271739501,0,1,1
"ENSG00000001084",609.892091906969,-0.0476140248467274,0.166874128814104,0,1,1
"ENSG00000001167",369.342807845239,-0.500335552006532,0.120427418415061,0,1,1
"ENSG00000001460",183.237674249271,-0.123914229526637,0.179562241541444,0,1,1
"ENSG00000001461",2813.85122198422,-0.0410661275771644,0.102563932168429,0,1,1
"ENSG00000001497",539.8235458671,-0.00404581316537833,0.106291284010874,0,1,1
"ENSG00000001561",114.03778409508,0.224990483290282,0.215985716896479,0,1,1
"ENSG00000001617",598.668142741294,-0.250235059157783,0.107959965024538,0,1,1
"ENSG00000001626",5.7649879371736,-1.08701304547233,0.789163155302131,-0.11025989351849,0.912203263609038,1
"ENSG00000001629",1779.82871935893,-0.226672565596684,0.0802828932036307,0,1,1
"ENSG00000001630",54.7277288861649,0.0126130268839745,0.311831774649806,0,1,1
"ENSG00000001631",785.453250774629,-0.0366891539126846,0.10296525059436,0,1,1
"ENSG00000002016",183.860422539257,-0.310516590635093,0.159392808718342,0,1,1
"ENSG00000002079",1.42773408312638,-1.98034185216367,1.8354699041985,-0.534109466966041,0.593265800292963,NA
"ENSG00000002330",178.056714274042,0.0889991212540051,0.154455552304668,0,1,1
"ENSG00000002549",1253.63083632383,0.186655096546362,0.105726263953611,0,1,1
"ENSG00000002586",8285.42119089887,0.0897499973533908,0.0802874457787401,0,1,1
"ENSG00000002745",6.89982616366639,-0.268973335507225,0.774758281470842,0,1,1
"ENSG00000002746",108.442359160607,0.102450864951856,0.19831293459035,0,1,1
"ENSG00000002822",349.807740878471,-0.16019963211559,0.132122635901112,0,1,1
"ENSG00000002834",7168.82575403564,0.396642741317787,0.0928994731940539,0,1,1
